End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
7/31/2021 0:00,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000,0,0,250000000,38000,0,0,0,249962000,249962000,0,0,11/1/1952 0:00,5/1/1977 0:00,5/9/1947 0:00,5/9/1947 0:00,6/9/1947 0:00,12/31/1947 0:00,
7/31/2021 0:00,IBRD00020,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,191044211.8,0,0,191044211.8,103372211.8,0,0,0,87672000,87672000,0,0,4/1/1952 0:00,10/1/1972 0:00,8/7/1947 0:00,8/7/1947 0:00,9/11/1947 0:00,3/31/1948 0:00,
7/31/2021 0:00,IBRD00021,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,3955788.25,0,0,3955788.25,0,0,0,0,3955788.25,3955788.25,0,0,4/1/1953 0:00,4/1/1954 0:00,5/25/1948 0:00,8/7/1947 0:00,6/1/1948 0:00,6/30/1948 0:00,
7/31/2021 0:00,IBRD00030,EUROPE AND CENTRAL ASIA,DK,Denmark,,,,NPL,Fully Repaid,4.25,,P037362,RECONSTRUCTION,40000000,0,0,40000000,17771000,0,0,0,22229000,22229000,0,0,2/1/1953 0:00,8/1/1972 0:00,8/22/1947 0:00,8/22/1947 0:00,10/17/1947 0:00,3/31/1949 0:00,
7/31/2021 0:00,IBRD00040,EUROPE AND CENTRAL ASIA,LU,Luxembourg,,,,NPL,Fully Repaid,4.25,,P037451,RECONSTRUCTION,12000000,0,0,11761983.02,1619983.02,0,0,0,10142000,10142000,0,0,7/15/1949 0:00,7/15/1972 0:00,8/28/1947 0:00,8/28/1947 0:00,10/24/1947 0:00,3/31/1949 0:00,
7/31/2021 0:00,IBRD00050,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,4.5,,P006578,POWER,13500000,0,0,13500000,12167000,0,0,0,1333000,1333000,0,0,7/1/1953 0:00,7/1/1968 0:00,3/25/1948 0:00,3/25/1948 0:00,4/7/1949 0:00,12/31/1954 0:00,
7/31/2021 0:00,IBRD00060,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,3.75,,P006577,FOMENTO AGRIC CREDIT,2500000,0,0,2500000,755000,0,0,0,1745000,1745000,0,0,7/1/1950 0:00,1/1/1955 0:00,3/25/1948 0:00,3/25/1948 0:00,4/7/1949 0:00,1/1/1950 0:00,
7/31/2021 0:00,IBRD00070,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00071,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00080,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037454,SHIPPING II,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00090,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037455,SHIPPING III,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00100,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00101,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,1/15/1949 0:00,7/15/1958 0:00,7/15/1948 0:00,5/21/1948 0:00,8/3/1948 0:00,8/3/1948 0:00,
7/31/2021 0:00,IBRD00111,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.5,,P006214,POWER AND TELEPHONE,75000000,0,0,75000000,70971588.97,0,0.01,0.01,4028411.03,4028411.03,0,0,7/1/1953 0:00,1/1/1974 0:00,1/27/1949 0:00,1/27/1949 0:00,5/9/1949 0:00,12/31/1953 0:00,
7/31/2021 0:00,IBRD00112,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006214,POWER AND TELEPHONE,15000000,0,0,15000000,15000000,0,0,0,0,0,0,0,7/1/1955 0:00,1/1/1976 0:00,1/18/1951 0:00,1/16/1951 0:00,4/10/1951 0:00,12/31/1954 0:00,
7/31/2021 0:00,IBRD00120,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Repaid,4.5,,P007497,POWER I,24100000,0,0,24100000,20131700,0,0,0,3968300,3968300,0,0,2/1/1953 0:00,8/1/1973 0:00,1/6/1949 0:00,1/6/1949 0:00,3/15/1949 0:00,3/31/1956 0:00,
7/31/2021 0:00,IBRD00130,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Cancelled,4.5,,P007498,POWER II,10000000,0,0,0,0,0,0,0,0,0,0,0,1/1/1951 0:00,1/1/1951 0:00,1/6/1949 0:00,1/6/1949 0:00,3/15/1949 0:00,7/1/1950 0:00,
7/31/2021 0:00,IBRD00140,EUROPE AND CENTRAL ASIA,BE,Belgium,MINISTERE DES FINANCES,BE,Belgium,NPL,Fully Repaid,4.25,,P037358,INDUSTRY,16000000,0,0,16000000,0,0,0,0,16000000,16000000,0,0,9/1/1953 0:00,3/1/1969 0:00,3/1/1949 0:00,2/8/1949 0:00,3/1/1949 0:00,6/1/1952 0:00,
7/31/2021 0:00,IBRD00150,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4,,P037457,INDUSTRIAL PROJECTS,15000000,0,0,7451984.72,1025088.71,0,0.01,0.01,6426896.01,6426896.01,0,0,12/1/1952 0:00,6/1/1964 0:00,7/26/1949 0:00,7/26/1949 0:00,9/15/1949 0:00,12/1/1953 0:00,
7/31/2021 0:00,IBRD00160,EUROPE AND CENTRAL ASIA,FI,Finland,,,,NPL,Fully Repaid,4,,P037366,INDUSTRY I,12500000,0,0,12500000,6747990.11,0,0,0,5752009.89,5752009.89,0,0,2/1/1953 0:00,8/1/1964 0:00,8/1/1949 0:00,7/26/1949 0:00,9/12/1949 0:00,12/31/1953 0:00,
7/31/2021 0:00,IBRD00170,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,4,,P009588,RAILWAY,34000000,0,0,32800000,15056370.48,0,0,0,17743629.52,17743629.52,0,0,8/15/1950 0:00,8/15/1964 0:00,8/18/1949 0:00,8/18/1949 0:00,11/2/1949 0:00,3/31/1951 0:00,
7/31/2021 0:00,IBRD00180,LATIN AMERICA AND CARIBBEAN,CO,Colombia,MINISTERIO DE HACIENDA Y CREDITO PUBLICO,CO,Colombia,NPL,Fully Repaid,3.5,,P006682,AGRICULTRE MACHINERY,5000000,0,0,4925440.84,2925440.84,0,0,0,2000000,2000000,0,0,5/15/1952 0:00,11/15/1956 0:00,8/19/1949 0:00,8/18/1949 0:00,10/22/1949 0:00,4/1/1951 0:00,
7/31/2021 0:00,IBRD00190,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,3.5,,P009586,FARM IMPROVEMENT,10000000,0,0,7203813.27,2263000,0,0,0,4940813.27,4940813.27,0,0,6/1/1952 0:00,12/1/1956 0:00,9/29/1949 0:00,9/27/1949 0:00,12/1/1949 0:00,12/31/1953 0:00,
7/31/2021 0:00,IBRD00200,EUROPE AND CENTRAL ASIA,YU,"Yugoslavia, former",,,,NPL,Fully Repaid,3,,P009133,FORESTRY,2700000,0,0,2700000,2700000,0,0,0,0,0,0,0,6/15/1950 0:00,9/15/1951 0:00,10/17/1949 0:00,10/13/1949 0:00,1/24/1950 0:00,12/31/1950 0:00,
7/31/2021 0:00,IBRD00210,EUROPE AND CENTRAL ASIA,FI,Finland,,,,NPL,Fully Repaid,3,,P037365,FORESTRY,2300000,0,0,2102131.1,2102131.1,0,0,0,0,0,0,0,6/15/1950 0:00,9/15/1951 0:00,10/17/1949 0:00,10/13/1949 0:00,12/16/1949 0:00,9/30/1951 0:00,
7/31/2021 0:00,IBRD00220,LATIN AMERICA AND CARIBBEAN,SV,El Salvador,MINISTRY OF PLANNING AND COORDINATION,SV,El Salvador,NPL,Fully Repaid,4.25,,P007137,RIO LEMPA HYDROELECT,12545000,0,0,12545000,11545000,0,0,0,1000000,1000000,0,0,7/15/1954 0:00,1/15/1975 0:00,12/14/1949 0:00,12/9/1949 0:00,9/15/1950 0:00,1/1/1955 0:00,
7/31/2021 0:00,IBRD00230,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,4,,P009587,BOKAROKONAR POWER,18500000,0,0,16720500,10851500,0,0,0,5869000,5869000,0,0,4/15/1955 0:00,4/15/1970 0:00,4/18/1950 0:00,4/18/1950 0:00,2/21/1951 0:00,2/29/1956 0:00,
7/31/2021 0:00,IBRD00240,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Repaid,4.5,,P007499,POWER III,26000000,0,0,26000000,21974000,0,0,0,4026000,4026000,0,0,8/1/1953 0:00,2/1/1975 0:00,4/28/1950 0:00,4/28/1950 0:00,6/30/1950 0:00,6/30/1953 0:00,
7/31/2021 0:00,IBRD00250,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006215,POWER,15000000,0,0,15000000,15000000,0,0,0,0,0,0,0,9/15/1954 0:00,3/15/1975 0:00,5/26/1950 0:00,5/26/1950 0:00,7/27/1950 0:00,12/31/1956 0:00,
7/31/2021 0:00,IBRD00260,MIDDLE EAST AND NORTH AFRICA,IQ,Iraq,PLANNING COMMISSION,IQ,Iraq,NPL,Fully Repaid,3.75,,P005231,IRRIGATION,12800000,0,0,6293946.46,6293946.46,0,0,0,0,0,0,0,4/1/1956 0:00,10/1/1965 0:00,6/15/1950 0:00,6/14/1950 0:00,7/12/1951 0:00,12/31/1955 0:00,
